keys,en,hu
"menu.campaign","Campaign","Kampány"
"menu.endless","Endless","Végtelen"
"menu.daily","Daily","Napi"
"menu.settings","Settings","Beállítások"
"menu.quit","Quit","Kilépés"
"menu.best","best {goals}","legjobb {goals}"
"menu.new","new","új"
"menu.streak","streak {days}","sorozat {days}"
"menu.done_today","done","megvan"
"menu.subtitle","{done} of {total} levels · ★ {stars}","{done} / {total} szint · ★ {stars}"
"menu.footer","{down} select   {accept} choose","{down} léptetés   {accept} választás"
"mode.play","Play","Játék"
"mode.back","Back","Vissza"
"mode.hint","{accept} play   ·   {back} back","{accept} játék   ·   {back} vissza"
"mode.endless.title","Endless","Végtelen"
"mode.endless.line1","One run that keeps getting harder.","Egyetlen menet, ami egyre nehezebb."
"mode.endless.line2","Reach the goal and the board grows a wall.","Ha eléred a célt, új fal nő a pályán."
"mode.endless.line3","It ends when no route is left. No undo here.","Akkor ér véget, ha nincs több út. Nincs visszavonás."
"mode.endless.best","Your best: {goals} goals","Legjobbad: {goals} cél"
"mode.endless.none","You have not run this one yet","Ezt még nem próbáltad"
"mode.daily.title","Daily puzzle","Napi feladvány"
"mode.daily.line1","One board a day, the same for everyone.","Napi egy pálya, mindenkinek ugyanaz."
"mode.daily.line2","A new board at midnight UTC — retry all you like.","Éjfélkor (UTC) új pálya, addig annyiszor próbálod, ahányszor akarod."
"mode.daily.line3","No undo here — restart instead, so scores compare.","Nincs visszavonás — kezdd újra; így összemérhető az eredmény."
"mode.daily.streak","Streak: {days} days","Sorozat: {days} nap"
"mode.daily.none","No streak going yet","Még nincs sorozatod"
"select.chapter","Chapter {chapter} · {name}","{chapter}. fejezet · {name}"
"select.progress","{done} / {total}   ★ {stars} / {max}","{done} / {total}   ★ {stars} / {max}"
"select.back","← Back  {glyph}","← Vissza  {glyph}"
"select.locked","Level {index}   locked","{index}. szint   zárva"
"select.detail","Level {index}   ideal {par}{best}","{index}. szint   ideális {par}{best}"
"select.best","   best {best}","   csúcs {best}"
"select.locked_chapter","Chapter {chapter} opens at {need} of {total} in chapter {prev}","A(z) {chapter}. fejezet a(z) {prev}. fejezet {need}/{total} szintjénél nyílik"
"select.locked_level","Finish level {index} first","Előbb teljesítsd a(z) {index}. szintet"
"select.unavailable","Level {index} is unavailable","A(z) {index}. szint nem elérhető"
"select.footer","{open} open   {chapter} chapter   {back} back","{open} megnyitás   {chapter} fejezet   {back} vissza"
"chapter.1","Flow","Áramlás"
"chapter.2","Walls","Falak"
"chapter.3","Branches","Elágazások"
"chapter.4","Gates & Portals","Kapuk és portálok"
"chapter.5","Pressure","Nyomás"
"hud.now","NOW   {dir}","MOST   {dir}"
"hud.next","NEXT","KÖVETKEZŐ"
"hud.next_left","NEXT  {count} left","KÖVETKEZŐ  még {count}"
"hud.moves","{moves} moves · ideal {par}","{moves} lépés · ideális {par}"
"hud.moves_only","{moves} moves","{moves} lépés"
"hud.endless_score","goals {goals} · placements {placements}","célok {goals} · lépések {placements}"
"hud.budget","budget      {used} / {total}","keret      {used} / {total}"
"hud.title_chapter","Chapter {chapter} · Level {level}","{chapter}. fejezet · {level}. szint"
"hud.title_endless","Endless · {goals} goals","Végtelen · {goals} cél"
"hud.title_daily","Daily · {date}","Napi · {date}"
"hud.title_tutorial","Tutorial · {index} of {total}","Oktatás · {index} / {total}"
"hud.title_fallback","Hexflow","Hexflow"
"hud.undo","Undo","Visszavonás"
"hud.discard","Discard {count}","Eldobás {count}"
"hud.wild","Wild {count}","Joker {count}"
"hud.hint","Hint","Tipp"
"hud.legend","≡ {glyph}","≡ {glyph}"
